IPAddress,Duration (in seconds),LocationLatitude,LocationLongitude,UserLanguage,CONSENT,M1_000_1,M1_001_1,M1_002_1,M1_010_1,M1_011_1,M1_012_1,M1_020_1,M1_021_1,M1_022_1,M1_100_1,M1_101_1,M1_102_1,M1_110_1,M1_111_1,M1_112_1,M1_120_1,M1_121_1,M1_122_1,M1_200_1,M1_201_1,M1_202_1,M1_210_1,M1_211_1,M1_212_1,M1_220_1,M1_221_1,M1_222_1,M2_000_1,M2_001_1,M2_002_1,M2_010_1,M2_011_1,M2_012_1,M2_020_1,M2_021_1,M2_022_1,M2_100_1,M2_101_1,M2_102_1,M2_110_1,M2_111_1,M2_112_1,M2_120_1,M2_121_1,M2_122_1,M2_200_1,M2_201_1,M2_202_1,M2_210_1,M2_211_1,M2_212_1,M2_220_1,M2_221_1,M2_222_1,M3_000_1,M3_001_1,M3_002_1,M3_010_1,M3_011_1,M3_012_1,M3_020_1,M3_021_1,M3_022_1,M3_100_1,M3_101_1,M3_102_1,M3_110_1,M3_111_1,M3_112_1,M3_120_1,M3_121_1,M3_122_1,M3_200_1,M3_201_1,M3_202_1,M3_210_1,M3_211_1,M3_212_1,M3_220_1,M3_221_1,M3_222_1,AC1,M4_000_1,M4_001_1,M4_002_1,M4_010_1,M4_011_1,M4_012_1,M4_020_1,M4_021_1,M4_022_1,M4_100_1,M4_101_1,M4_102_1,M4_110_1,M4_111_1,M4_112_1,M4_120_1,M4_121_1,M4_122_1,M4_200_1,M4_201_1,M4_202_1,M4_210_1,M4_211_1,M4_212_1,M4_220_1,M4_221_1,M4_222_1,M5_000_1,M5_001_1,M5_002_1,M5_010_1,M5_011_1,M5_012_1,M5_020_1,M5_021_1,M5_022_1,M5_100_1,M5_101_1,M5_102_1,M5_110_1,M5_111_1,M5_112_1,M5_120_1,M5_121_1,M5_122_1,M5_200_1,M5_201_1,M5_202_1,M5_210_1,M5_211_1,M5_212_1,M5_220_1,M5_221_1,M5_222_1,AC2
96.59.184.6,171,28.10189819,-81.92479706,EN,1,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1
73.184.165.107,44,34.25770569,-84.49210358,EN,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,,,,,,,1
99.46.169.184,77,29.73950195,-95.38790131,EN,1,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,2,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4,,,,,,,1
73.113.169.84,64,36.05819702,-83.91470337,EN,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,2,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
137.103.58.36,454,25.70329285,-80.28990173,EN,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1
107.77.218.233,274,32.77870178,-96.82170105,EN,1,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
71.70.170.195,446,35.90220642,-78.62830353,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,1
67.245.216.203,468,41.57679749,-74.48709869,EN,1,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,2,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1
72.135.16.153,194,39.07339478,-94.71769714,EN,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,1
128.249.96.15,119,29.707901,-95.40100098,EN,1,,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1
