IPAddress,Duration (in seconds),LocationLatitude,LocationLongitude,UserLanguage,CONSENT,M1_000_1,M1_001_1,M1_002_1,M1_010_1,M1_011_1,M1_012_1,M1_020_1,M1_021_1,M1_022_1,M1_100_1,M1_101_1,M1_102_1,M1_110_1,M1_111_1,M1_112_1,M1_120_1,M1_121_1,M1_122_1,M1_200_1,M1_201_1,M1_202_1,M1_210_1,M1_211_1,M1_212_1,M1_220_1,M1_221_1,M1_222_1,M2_000_1,M2_001_1,M2_002_1,M2_010_1,M2_011_1,M2_012_1,M2_020_1,M2_021_1,M2_022_1,M2_100_1,M2_101_1,M2_102_1,M2_110_1,M2_111_1,M2_112_1,M2_120_1,M2_121_1,M2_122_1,M2_200_1,M2_201_1,M2_202_1,M2_210_1,M2_211_1,M2_212_1,M2_220_1,M2_221_1,M2_222_1,M3_000_1,M3_001_1,M3_002_1,M3_010_1,M3_011_1,M3_012_1,M3_020_1,M3_021_1,M3_022_1,M3_100_1,M3_101_1,M3_102_1,M3_110_1,M3_111_1,M3_112_1,M3_120_1,M3_121_1,M3_122_1,M3_200_1,M3_201_1,M3_202_1,M3_210_1,M3_211_1,M3_212_1,M3_220_1,M3_221_1,M3_222_1,AC1,M4_000_1,M4_001_1,M4_002_1,M4_010_1,M4_011_1,M4_012_1,M4_020_1,M4_021_1,M4_022_1,M4_100_1,M4_101_1,M4_102_1,M4_110_1,M4_111_1,M4_112_1,M4_120_1,M4_121_1,M4_122_1,M4_200_1,M4_201_1,M4_202_1,M4_210_1,M4_211_1,M4_212_1,M4_220_1,M4_221_1,M4_222_1,M5_000_1,M5_001_1,M5_002_1,M5_010_1,M5_011_1,M5_012_1,M5_020_1,M5_021_1,M5_022_1,M5_100_1,M5_101_1,M5_102_1,M5_110_1,M5_111_1,M5_112_1,M5_120_1,M5_121_1,M5_122_1,M5_200_1,M5_201_1,M5_202_1,M5_210_1,M5_211_1,M5_212_1,M5_220_1,M5_221_1,M5_222_1,AC2
63.243.37.162,80,,,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
98.65.161.247,209,,,EN,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1
103.219.244.126,99,20,77,EN,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,1
223.230.46.133,7510,,,EN,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,2,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1
73.173.228.88,663,39.13169861,-77.28800201,EN,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
103.219.244.126,272,20,77,EN,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,1
122.164.191.111,102,13.08329773,80.28329468,EN,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,2,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,1
96.225.18.233,100,40.84829712,-73.97250366,EN,1,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
122.172.138.129,431,,,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1
108.66.214.58,176,35.64610291,-78.57910156,EN,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,1
174.140.64.232,145,39.89370728,-79.74919891,EN,1,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1
97.73.240.51,380,34.05439758,-118.2440033,EN,1,,,,,,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,1
68.81.42.79,105,40.29550171,-75.32540131,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,-4,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4,,,,,,,,1
70.44.227.26,102,40.9394989,-75.96949768,EN,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,1
173.189.53.123,148,37.86470032,-84.56420135,EN,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,1
104.240.162.16,97,39.64360046,-82.76129913,EN,1,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,1
24.158.195.220,101,36.53649902,-82.46980286,EN,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,1
122.178.48.207,414,13.08329773,80.28329468,EN,1,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,1
